policy_id,customer_id,vehicle_id,policy_type,policy_version_id,coverage_limit,deductible,start_date,end_date,status
P000020,C006628,V005305,COMPREHENSIVE,PV-COMP-V2,720000.0,20600.0,2025-12-31,2026-12-31,ACTIVE
P000021,C000160,V002313,COMPREHENSIVE,PV-COMP-V2,571000.0,9300.0,2024-10-26,2025-10-26,EXPIRED
P000022,C007839,V007041,THIRD_PARTY,PV-TP-V1,1176000.0,15800.0,2023-12-23,2024-12-22,EXPIRED
P000023,C008780,V001890,COMPREHENSIVE,PV-COMP-V2,524000.0,24900.0,2025-08-05,2026-08-05,EXPIRED
P000024,C002777,V008992,COMPREHENSIVE,PV-COMP-V2,723000.0,7800.0,2024-09-18,2025-09-18,EXPIRED
P000025,C000589,V000170,COMPREHENSIVE,PV-COMP-V1,1111000.0,47300.0,2024-08-09,2025-08-09,EXPIRED
P000026,C002990,V001796,COMPREHENSIVE,PV-COMP-V2,400000.0,11800.0,2023-12-20,2024-12-19,EXPIRED
P000027,C004876,V003976,THEFT,PV-THEFT-V1,2953000.0,77600.0,2023-10-16,2024-10-15,EXPIRED
P000028,C008005,V006821,THIRD_PARTY,PV-TP-V1,463000.0,15400.0,2026-04-18,2027-04-18,ACTIVE
P000029,C008804,V007827,THIRD_PARTY,PV-TP-V1,172000.0,4400.0,2026-02-23,2027-02-23,ACTIVE
P000030,C000050,V011810,COMPREHENSIVE,PV-COMP-V2,357000.0,4700.0,2024-09-03,2025-09-03,EXPIRED
P000031,C002722,V001040,COMMERCIAL,PV-COMM-V1,1084000.0,27700.0,2024-09-27,2025-09-27,EXPIRED
P000032,C005603,V002849,THIRD_PARTY,PV-TP-V1,595000.0,25400.0,2026-06-01,2027-06-01,ACTIVE
P000033,C005381,V003372,COMPREHENSIVE,PV-COMP-V1,646000.0,22300.0,2024-04-26,2025-04-26,EXPIRED
P000034,C004618,V008830,COMPREHENSIVE,PV-COMP-V2,679000.0,20400.0,2026-02-27,2027-02-27,ACTIVE
P000035,C006749,V010350,COMPREHENSIVE,PV-COMP-V1,246000.0,9500.0,2024-05-15,2025-05-15,EXPIRED
P000036,C000252,V008798,COMPREHENSIVE,PV-COMP-V2,674000.0,7700.0,2025-08-07,2026-08-07,EXPIRED
P000037,C001524,V000765,THEFT,PV-THEFT-V1,401000.0,13900.0,2023-12-24,2024-12-23,EXPIRED
P000038,C004073,V001594,COMPREHENSIVE,PV-COMP-V1,571000.0,7600.0,2025-01-23,2026-01-23,EXPIRED
P000039,C001925,V014233,COMPREHENSIVE,PV-COMP-V1,464000.0,17700.0,2024-03-19,2025-03-19,EXPIRED
P000040,C001730,V005873,COMMERCIAL,PV-COMM-V1,1689000.0,71600.0,2025-04-01,2026-04-01,EXPIRED
P000041,C009036,V009941,THIRD_PARTY,PV-TP-V1,929000.0,17600.0,2025-12-25,2026-12-25,ACTIVE
P000042,C005911,V005170,THIRD_PARTY,PV-TP-V1,695000.0,24800.0,2026-02-06,2027-02-06,ACTIVE
P000043,C008724,V010910,THEFT,PV-THEFT-V1,592000.0,6900.0,2026-07-25,2027-07-25,ACTIVE
P000044,C006823,V004123,COMPREHENSIVE,PV-COMP-V2,948000.0,13900.0,2024-04-08,2025-04-08,EXPIRED
P000045,C001123,V012949,THEFT,PV-THEFT-V1,1156000.0,41500.0,2026-05-17,2027-05-17,ACTIVE
P000046,C006956,V014483,COMMERCIAL,PV-COMM-V1,516000.0,19200.0,2026-05-28,2027-05-28,ACTIVE
P000047,C002843,V000150,COMPREHENSIVE,PV-COMP-V1,1425000.0,31200.0,2025-02-24,2026-02-24,EXPIRED
P000048,C007608,V011737,COMMERCIAL,PV-COMM-V1,555000.0,8500.0,2026-05-08,2027-05-08,ACTIVE
P000049,C009044,V000388,THIRD_PARTY,PV-TP-V1,253000.0,9600.0,2024-09-25,2025-09-25,EXPIRED
P000050,C004338,V003947,THIRD_PARTY,PV-TP-V1,714000.0,32200.0,2024-04-14,2025-04-14,EXPIRED
P000051,C005955,V013403,COMPREHENSIVE,PV-COMP-V2,599000.0,27400.0,2025-08-10,2026-08-10,EXPIRED
P000052,C009252,V001374,COMPREHENSIVE,PV-COMP-V2,361000.0,8000.0,2025-02-03,2026-02-03,EXPIRED
P000053,C004443,V002885,COMMERCIAL,PV-COMM-V1,331000.0,10400.0,2026-01-28,2027-01-28,ACTIVE
P000054,C000149,V014043,COMPREHENSIVE,PV-COMP-V2,605000.0,27500.0,2026-06-30,2027-06-30,ACTIVE
P000055,C009275,V011361,COMPREHENSIVE,PV-COMP-V2,721000.0,22100.0,2026-01-02,2027-01-02,ACTIVE
P000056,C006462,V002992,COMPREHENSIVE,PV-COMP-V2,732000.0,10400.0,2024-08-25,2025-08-25,EXPIRED
P000057,C001618,V011596,COMPREHENSIVE,PV-COMP-V2,314000.0,6500.0,2024-11-12,2025-11-12,EXPIRED
P000058,C001724,V010582,THIRD_PARTY,PV-TP-V1,977000.0,40400.0,2026-01-07,2027-01-07,ACTIVE
P000059,C003781,V014868,COMPREHENSIVE,PV-COMP-V1,152000.0,1600.0,2024-02-08,2025-02-07,EXPIRED
P000060,C002616,V014425,THIRD_PARTY,PV-TP-V1,804000.0,13900.0,2025-08-31,2026-08-31,EXPIRED
P000061,C009877,V003025,COMPREHENSIVE,PV-COMP-V2,1918000.0,41400.0,2025-05-06,2026-05-06,EXPIRED
P000062,C007837,V000252,COMPREHENSIVE,PV-COMP-V2,365000.0,7100.0,2024-02-22,2025-02-21,EXPIRED
P000063,C004682,V012147,COMPREHENSIVE,PV-COMP-V1,818000.0,39400.0,2026-04-15,2027-04-15,ACTIVE
P000064,C007287,V011439,THEFT,PV-THEFT-V1,963000.0,43100.0,2024-12-23,2025-12-23,EXPIRED
P000065,C001674,V007093,COMPREHENSIVE,PV-COMP-V1,392000.0,12500.0,2025-11-09,2026-11-09,ACTIVE
P000066,C000906,V000933,COMPREHENSIVE,PV-COMP-V1,572000.0,16600.0,2024-11-08,2025-11-08,EXPIRED
P000067,C007379,V007218,THEFT,PV-THEFT-V1,446000.0,11000.0,2025-02-20,2026-02-20,EXPIRED
P000068,C000080,V003685,COMMERCIAL,PV-COMM-V1,480000.0,23800.0,2024-08-15,2025-08-15,EXPIRED
P000069,C001460,V008369,COMMERCIAL,PV-COMM-V1,589000.0,16600.0,2023-09-23,2024-09-22,EXPIRED
P000070,C001813,V009479,COMPREHENSIVE,PV-COMP-V1,1285000.0,26600.0,2026-08-27,2027-08-27,ACTIVE
P000071,C008901,V011725,THEFT,PV-THEFT-V1,801000.0,38300.0,2024-09-21,2025-09-21,EXPIRED
P000072,C000615,V007418,COMPREHENSIVE,PV-COMP-V1,341000.0,6900.0,2026-05-23,2027-05-23,ACTIVE
P000073,C000113,V010505,THIRD_PARTY,PV-TP-V1,715000.0,26100.0,2024-03-13,2025-03-13,EXPIRED
P000074,C009766,V010516,COMPREHENSIVE,PV-COMP-V2,344000.0,15900.0,2025-03-21,2026-03-21,EXPIRED
P000075,C004129,V013510,COMMERCIAL,PV-COMM-V1,985000.0,20200.0,2025-01-26,2026-01-26,EXPIRED
P000076,C001240,V007173,THIRD_PARTY,PV-TP-V1,277000.0,7700.0,2026-05-13,2027-05-13,ACTIVE
P000077,C009611,V003329,COMPREHENSIVE,PV-COMP-V2,1801000.0,83800.0,2024-04-06,2025-04-06,EXPIRED
P000078,C009415,V005024,COMPREHENSIVE,PV-COMP-V2,883000.0,17900.0,2026-01-01,2027-01-01,ACTIVE
P000079,C004675,V002215,THIRD_PARTY,PV-TP-V1,989000.0,49000.0,2025-05-08,2026-05-08,EXPIRED
P000080,C005703,V002217,THEFT,PV-THEFT-V1,565000.0,22600.0,2025-07-16,2026-07-16,EXPIRED
P000081,C009623,V014796,COMPREHENSIVE,PV-COMP-V2,1025000.0,50400.0,2025-09-27,2026-09-27,ACTIVE
P000082,C000884,V002860,THEFT,PV-THEFT-V1,293000.0,4600.0,2024-05-01,2025-05-01,EXPIRED
P000083,C004863,V004025,COMPREHENSIVE,PV-COMP-V2,618000.0,12900.0,2024-09-25,2025-09-25,EXPIRED
P000084,C002061,V002761,THIRD_PARTY,PV-TP-V1,589000.0,23600.0,2024-12-02,2025-12-02,EXPIRED
P000085,C001961,V003291,COMPREHENSIVE,PV-COMP-V2,1777000.0,87200.0,2025-02-01,2026-02-01,EXPIRED
P000086,C003521,V010044,THEFT,PV-THEFT-V1,424000.0,13000.0,2025-10-02,2026-10-02,ACTIVE
P000087,C001438,V002627,THIRD_PARTY,PV-TP-V1,619000.0,13100.0,2025-05-28,2026-05-28,EXPIRED
P000088,C009652,V004610,COMPREHENSIVE,PV-COMP-V2,404000.0,5800.0,2024-09-05,2025-09-05,EXPIRED
P000089,C001251,V013284,THEFT,PV-THEFT-V1,287000.0,13400.0,2024-07-15,2025-07-15,EXPIRED
P000090,C005451,V012473,THEFT,PV-THEFT-V1,1123000.0,17800.0,2023-12-05,2024-12-04,EXPIRED
P000091,C005366,V011740,COMPREHENSIVE,PV-COMP-V2,986000.0,42300.0,2024-05-09,2025-05-09,EXPIRED
P000092,C004419,V006662,COMPREHENSIVE,PV-COMP-V1,631000.0,19200.0,2025-12-18,2026-12-18,ACTIVE
P000093,C002472,V013940,COMPREHENSIVE,PV-COMP-V2,233000.0,6100.0,2024-03-17,2025-03-17,EXPIRED
P000094,C007683,V007360,COMMERCIAL,PV-COMM-V1,279000.0,7600.0,2026-09-11,2027-09-11,ACTIVE
P000095,C004472,V003205,COMPREHENSIVE,PV-COMP-V2,536000.0,16800.0,2023-10-03,2024-10-02,EXPIRED
P000096,C005070,V011753,COMMERCIAL,PV-COMM-V1,722000.0,34700.0,2026-01-23,2027-01-23,ACTIVE
P000097,C003758,V006127,COMPREHENSIVE,PV-COMP-V1,527000.0,14800.0,2026-07-21,2027-07-21,ACTIVE
P000098,C009601,V014630,COMPREHENSIVE,PV-COMP-V1,541000.0,22200.0,2024-09-15,2025-09-15,EXPIRED
P000099,C000714,V002679,COMPREHENSIVE,PV-COMP-V1,595000.0,25100.0,2024-12-12,2025-12-12,EXPIRED
P000100,C001159,V003709,THIRD_PARTY,PV-TP-V1,682000.0,30900.0,2023-10-02,2024-10-01,EXPIRED
P000101,C006316,V009988,THEFT,PV-THEFT-V1,910000.0,35300.0,2025-03-01,2026-03-01,EXPIRED
P000102,C002173,V002806,THIRD_PARTY,PV-TP-V1,510000.0,9000.0,2023-10-31,2024-10-30,EXPIRED
P000103,C004523,V001454,COMPREHENSIVE,PV-COMP-V2,190000.0,5100.0,2024-07-19,2025-07-19,EXPIRED
P000104,C006596,V014422,THEFT,PV-THEFT-V1,471000.0,18800.0,2025-04-03,2026-04-03,EXPIRED
P000105,C004451,V010000,COMPREHENSIVE,PV-COMP-V1,532000.0,18200.0,2024-06-05,2025-06-05,EXPIRED
P000106,C009293,V002320,THIRD_PARTY,PV-TP-V1,559000.0,20900.0,2024-02-04,2025-02-03,EXPIRED
P000107,C005313,V013883,COMMERCIAL,PV-COMM-V1,971000.0,23000.0,2026-01-01,2027-01-01,ACTIVE
P000108,C006386,V012609,THIRD_PARTY,PV-TP-V1,418000.0,10100.0,2025-11-29,2026-11-29,ACTIVE
P000109,C004109,V007334,THIRD_PARTY,PV-TP-V1,1715000.0,39600.0,2025-04-07,2026-04-07,EXPIRED
P000110,C009329,V003652,COMPREHENSIVE,PV-COMP-V1,1046000.0,14900.0,2025-02-06,2026-02-06,EXPIRED
P000111,C004109,V002289,COMPREHENSIVE,PV-COMP-V1,789000.0,16100.0,2026-09-13,2027-09-13,ACTIVE
P000112,C003949,V003624,COMPREHENSIVE,PV-COMP-V1,322000.0,12000.0,2025-09-28,2026-09-28,ACTIVE
P000113,C001306,V013619,COMPREHENSIVE,PV-COMP-V1,289000.0,11600.0,2024-09-30,2025-09-30,EXPIRED
P000114,C005083,V004879,COMPREHENSIVE,PV-COMP-V2,667000.0,9300.0,2024-04-28,2025-04-28,EXPIRED
P000115,C003478,V001714,THEFT,PV-THEFT-V1,383000.0,6700.0,2024-03-26,2025-03-26,EXPIRED
P000116,C006490,V014506,COMPREHENSIVE,PV-COMP-V1,277000.0,4600.0,2025-05-08,2026-05-08,EXPIRED
P000117,C006263,V003590,COMPREHENSIVE,PV-COMP-V2,1141000.0,38700.0,2023-11-20,2024-11-19,EXPIRED
P000118,C007058,V009467,COMPREHENSIVE,PV-COMP-V2,2153000.0,87500.0,2024-12-17,2025-12-17,EXPIRED
P000119,C000402,V005156,COMPREHENSIVE,PV-COMP-V1,347000.0,8700.0,2025-04-24,2026-04-24,EXPIRED
P000120,C007297,V012595,COMPREHENSIVE,PV-COMP-V2,635000.0,9500.0,2025-04-29,2026-04-29,EXPIRED
P000121,C009886,V013674,THEFT,PV-THEFT-V1,939000.0,32700.0,2023-10-17,2024-10-16,EXPIRED
P000122,C002094,V003670,THEFT,PV-THEFT-V1,502000.0,8400.0,2025-03-20,2026-03-20,EXPIRED
P000123,C005148,V014325,THEFT,PV-THEFT-V1,1033000.0,30500.0,2025-12-03,2026-12-03,ACTIVE
P000124,C003025,V013525,THIRD_PARTY,PV-TP-V1,1235000.0,16500.0,2024-11-17,2025-11-17,EXPIRED
P000125,C008420,V008385,COMPREHENSIVE,PV-COMP-V2,705000.0,18600.0,2024-12-24,2025-12-24,EXPIRED
P000126,C009654,V014211,COMPREHENSIVE,PV-COMP-V1,1082000.0,21100.0,2024-07-11,2025-07-11,EXPIRED
P000127,C000618,V004388,COMPREHENSIVE,PV-COMP-V1,900000.0,24200.0,2025-12-23,2026-12-23,ACTIVE
P000128,C008895,V009124,COMPREHENSIVE,PV-COMP-V1,776000.0,20100.0,2025-04-15,2026-04-15,EXPIRED
P000129,C006522,V007895,COMPREHENSIVE,PV-COMP-V2,573000.0,20200.0,2026-04-23,2027-04-23,ACTIVE
P000130,C007633,V001490,COMPREHENSIVE,PV-COMP-V2,593000.0,18700.0,2025-09-07,2026-09-07,EXPIRED
P000131,C006343,V001607,COMPREHENSIVE,PV-COMP-V1,373000.0,14800.0,2024-01-14,2025-01-13,EXPIRED
P000132,C000662,V008595,COMPREHENSIVE,PV-COMP-V1,1081000.0,30200.0,2025-03-04,2026-03-04,EXPIRED
P000133,C007748,V008529,COMMERCIAL,PV-COMM-V1,378000.0,14100.0,2026-06-11,2027-06-11,ACTIVE
P000134,C000887,V001403,THIRD_PARTY,PV-TP-V1,2146000.0,56200.0,2026-05-01,2027-05-01,ACTIVE
P000135,C001411,V009388,THIRD_PARTY,PV-TP-V1,560000.0,25600.0,2024-03-03,2025-03-03,EXPIRED
P000136,C002289,V003520,THIRD_PARTY,PV-TP-V1,346000.0,16000.0,2024-01-04,2025-01-03,EXPIRED
P000137,C004112,V003298,THIRD_PARTY,PV-TP-V1,306000.0,13500.0,2026-07-29,2027-07-29,ACTIVE
P000138,C006436,V001007,COMPREHENSIVE,PV-COMP-V2,882000.0,30300.0,2026-05-18,2027-05-18,ACTIVE
P000139,C002725,V002792,THIRD_PARTY,PV-TP-V1,1242000.0,17400.0,2025-03-13,2026-03-13,EXPIRED
P000140,C007691,V002705,COMPREHENSIVE,PV-COMP-V1,440000.0,19700.0,2025-05-01,2026-05-01,EXPIRED
P000141,C001572,V005614,THIRD_PARTY,PV-TP-V1,832000.0,25700.0,2026-05-25,2027-05-25,ACTIVE
P000142,C004604,V014031,COMPREHENSIVE,PV-COMP-V2,502000.0,19400.0,2026-06-23,2027-06-23,ACTIVE
P000143,C002135,V005684,COMPREHENSIVE,PV-COMP-V1,888000.0,24800.0,2024-12-11,2025-12-11,EXPIRED
P000144,C002184,V012288,COMPREHENSIVE,PV-COMP-V1,428000.0,7700.0,2023-11-20,2024-11-19,EXPIRED
P000145,C009056,V005401,THIRD_PARTY,PV-TP-V1,698000.0,27100.0,2026-07-08,2027-07-08,ACTIVE
P000146,C006018,V002358,COMPREHENSIVE,PV-COMP-V1,614000.0,22700.0,2025-06-07,2026-06-07,EXPIRED
P000147,C006252,V014681,COMPREHENSIVE,PV-COMP-V2,432000.0,18000.0,2024-10-19,2025-10-19,EXPIRED
P000148,C008321,V000291,COMPREHENSIVE,PV-COMP-V1,867000.0,41600.0,2025-06-25,2026-06-25,EXPIRED
P000149,C001128,V012535,COMMERCIAL,PV-COMM-V1,230000.0,7100.0,2024-12-10,2025-12-10,EXPIRED
P000150,C002189,V005909,COMPREHENSIVE,PV-COMP-V1,611000.0,11900.0,2026-08-26,2027-08-26,ACTIVE
P000151,C001270,V013819,COMPREHENSIVE,PV-COMP-V1,900000.0,23100.0,2024-10-30,2025-10-30,EXPIRED
P000152,C003555,V006595,COMMERCIAL,PV-COMM-V1,297000.0,5000.0,2026-06-14,2027-06-14,ACTIVE
P000153,C009821,V000089,THIRD_PARTY,PV-TP-V1,485000.0,20200.0,2024-04-17,2025-04-17,EXPIRED
P000154,C001302,V012999,THIRD_PARTY,PV-TP-V1,561000.0,9300.0,2026-03-28,2027-03-28,ACTIVE
P000155,C006561,V002233,THIRD_PARTY,PV-TP-V1,858000.0,16700.0,2023-10-29,2024-10-28,EXPIRED
P000156,C003826,V008274,COMPREHENSIVE,PV-COMP-V2,586000.0,17800.0,2024-09-27,2025-09-27,EXPIRED
P000157,C008232,V009323,COMPREHENSIVE,PV-COMP-V1,389000.0,7300.0,2025-03-22,2026-03-22,EXPIRED
P000158,C007424,V007965,COMPREHENSIVE,PV-COMP-V2,841000.0,34200.0,2026-07-23,2027-07-23,ACTIVE
P000159,C000587,V009038,COMMERCIAL,PV-COMM-V1,1768000.0,39200.0,2025-12-19,2026-12-19,ACTIVE
P000160,C005193,V011409,COMPREHENSIVE,PV-COMP-V2,500000.0,24200.0,2025-08-15,2026-08-15,EXPIRED
P000161,C000720,V008392,THIRD_PARTY,PV-TP-V1,1029000.0,38700.0,2024-07-16,2025-07-16,EXPIRED
P000162,C001447,V011750,COMMERCIAL,PV-COMM-V1,1895000.0,72700.0,2025-11-29,2026-11-29,ACTIVE
P000163,C008600,V001057,COMMERCIAL,PV-COMM-V1,541000.0,24900.0,2024-04-06,2025-04-06,EXPIRED
P000164,C002842,V000904,THIRD_PARTY,PV-TP-V1,1324000.0,23300.0,2025-07-22,2026-07-22,EXPIRED
P000165,C007951,V014221,COMPREHENSIVE,PV-COMP-V2,743000.0,12100.0,2025-06-26,2026-06-26,EXPIRED
P000166,C006465,V013627,COMPREHENSIVE,PV-COMP-V1,652000.0,30200.0,2024-05-01,2025-05-01,EXPIRED
P000167,C006215,V002040,THIRD_PARTY,PV-TP-V1,475000.0,22900.0,2026-06-11,2027-06-11,ACTIVE
P000168,C009196,V001612,COMPREHENSIVE,PV-COMP-V2,924000.0,36500.0,2024-11-24,2025-11-24,EXPIRED
P000169,C003713,V014520,THEFT,PV-THEFT-V1,1218000.0,13900.0,2025-09-01,2026-09-01,EXPIRED
P000170,C008219,V000737,THIRD_PARTY,PV-TP-V1,937000.0,22500.0,2026-01-03,2027-01-03,ACTIVE
P000171,C005381,V005964,THIRD_PARTY,PV-TP-V1,656000.0,31400.0,2024-06-02,2025-06-02,EXPIRED
P000172,C005550,V011876,COMPREHENSIVE,PV-COMP-V2,1109000.0,48600.0,2025-10-09,2026-10-09,ACTIVE
P000173,C000510,V007309,COMMERCIAL,PV-COMM-V1,1070000.0,42500.0,2026-06-27,2027-06-27,ACTIVE
P000174,C008514,V009053,THIRD_PARTY,PV-TP-V1,864000.0,23700.0,2026-03-10,2027-03-10,ACTIVE
P000175,C004489,V006178,THIRD_PARTY,PV-TP-V1,1613000.0,41700.0,2024-10-17,2025-10-17,EXPIRED
P000176,C006901,V013556,COMPREHENSIVE,PV-COMP-V1,657000.0,10000.0,2025-09-29,2026-09-29,ACTIVE
P000177,C006539,V002865,COMPREHENSIVE,PV-COMP-V2,744000.0,28100.0,2024-05-24,2025-05-24,EXPIRED
P000178,C001745,V010057,THIRD_PARTY,PV-TP-V1,2046000.0,77800.0,2025-07-25,2026-07-25,EXPIRED
P000179,C003819,V001419,COMPREHENSIVE,PV-COMP-V2,1480000.0,64700.0,2025-06-09,2026-06-09,EXPIRED
P000180,C001980,V005915,THIRD_PARTY,PV-TP-V1,1016000.0,41900.0,2024-08-02,2025-08-02,EXPIRED
P000181,C009899,V004149,COMPREHENSIVE,PV-COMP-V2,981000.0,40100.0,2025-07-08,2026-07-08,EXPIRED
P000182,C008646,V013110,COMPREHENSIVE,PV-COMP-V2,739000.0,13300.0,2024-08-05,2025-08-05,EXPIRED
P000183,C001265,V013686,COMPREHENSIVE,PV-COMP-V1,161000.0,5100.0,2026-02-11,2027-02-11,ACTIVE
P000184,C006204,V001011,COMPREHENSIVE,PV-COMP-V1,684000.0,17900.0,2023-11-23,2024-11-22,EXPIRED
P000185,C000862,V008635,COMMERCIAL,PV-COMM-V1,526000.0,15200.0,2026-05-22,2027-05-22,ACTIVE
P000186,C005007,V007589,THEFT,PV-THEFT-V1,1305000.0,15100.0,2025-10-02,2026-10-02,ACTIVE
P000187,C001473,V004190,COMPREHENSIVE,PV-COMP-V1,321000.0,12600.0,2025-10-04,2026-10-04,ACTIVE
P000188,C000899,V014954,THIRD_PARTY,PV-TP-V1,458000.0,8100.0,2024-04-14,2025-04-14,EXPIRED
P000189,C004744,V010529,COMPREHENSIVE,PV-COMP-V1,591000.0,25100.0,2025-10-05,2026-10-05,ACTIVE
P000190,C009671,V009825,COMPREHENSIVE,PV-COMP-V2,1662000.0,60300.0,2025-10-18,2026-10-18,ACTIVE
P000191,C009133,V005146,THIRD_PARTY,PV-TP-V1,542000.0,16400.0,2024-06-29,2025-06-29,EXPIRED
P000192,C009189,V008938,COMMERCIAL,PV-COMM-V1,318000.0,9400.0,2024-03-27,2025-03-27,EXPIRED
P000193,C007149,V009616,COMPREHENSIVE,PV-COMP-V2,607000.0,29400.0,2024-08-02,2025-08-02,EXPIRED
P000194,C003536,V008701,COMMERCIAL,PV-COMM-V1,1338000.0,59600.0,2024-03-10,2025-03-10,EXPIRED
P000195,C002659,V003801,COMMERCIAL,PV-COMM-V1,1796000.0,66100.0,2025-04-08,2026-04-08,EXPIRED
P000196,C009197,V010382,COMPREHENSIVE,PV-COMP-V1,970000.0,34500.0,2024-04-27,2025-04-27,EXPIRED
P000197,C002387,V003746,THIRD_PARTY,PV-TP-V1,467000.0,18600.0,2025-04-26,2026-04-26,EXPIRED
P000198,C001203,V009074,COMPREHENSIVE,PV-COMP-V1,352000.0,17200.0,2024-03-01,2025-03-01,EXPIRED
P000199,C008386,V011362,THIRD_PARTY,PV-TP-V1,430000.0,16100.0,2025-10-20,2026-10-20,ACTIVE
P000200,C008414,V008049,THIRD_PARTY,PV-TP-V1,719000.0,31700.0,2026-02-14,2027-02-14,ACTIVE
P000201,C002279,V001386,COMPREHENSIVE,PV-COMP-V2,860000.0,11000.0,2023-09-27,2024-09-26,EXPIRED
P000202,C001633,V010183,COMPREHENSIVE,PV-COMP-V2,823000.0,17700.0,2024-10-05,2025-10-05,EXPIRED
P000203,C009322,V004873,THIRD_PARTY,PV-TP-V1,283000.0,3200.0,2026-04-09,2027-04-09,ACTIVE
P000204,C001665,V000736,THIRD_PARTY,PV-TP-V1,264000.0,12400.0,2023-11-04,2024-11-03,EXPIRED
P000205,C003600,V005713,THIRD_PARTY,PV-TP-V1,830000.0,11900.0,2023-12-25,2024-12-24,EXPIRED
P000206,C008030,V005423,COMPREHENSIVE,PV-COMP-V1,863000.0,14600.0,2025-09-05,2026-09-05,EXPIRED
P000207,C005171,V004013,COMMERCIAL,PV-COMM-V1,441000.0,18100.0,2026-06-24,2027-06-24,ACTIVE
P000208,C004267,V002859,COMPREHENSIVE,PV-COMP-V1,422000.0,17300.0,2025-12-01,2026-12-01,ACTIVE
P000209,C007591,V009897,THIRD_PARTY,PV-TP-V1,515000.0,15400.0,2024-01-04,2025-01-03,EXPIRED
P000210,C005863,V004537,THIRD_PARTY,PV-TP-V1,251000.0,8800.0,2025-04-08,2026-04-08,EXPIRED
P000211,C002435,V004581,COMMERCIAL,PV-COMM-V1,303000.0,8400.0,2026-03-20,2027-03-20,ACTIVE
P000212,C000874,V007656,THIRD_PARTY,PV-TP-V1,1228000.0,19600.0,2026-02-01,2027-02-01,ACTIVE
P000213,C008763,V005999,THIRD_PARTY,PV-TP-V1,344000.0,7000.0,2026-03-03,2027-03-03,ACTIVE
P000214,C008158,V000885,COMMERCIAL,PV-COMM-V1,517000.0,25100.0,2025-02-12,2026-02-12,EXPIRED
P000215,C000890,V009027,COMPREHENSIVE,PV-COMP-V2,922000.0,39600.0,2025-12-01,2026-12-01,ACTIVE
P000216,C005661,V003234,THIRD_PARTY,PV-TP-V1,806000.0,13800.0,2026-08-02,2027-08-02,ACTIVE
P000217,C008355,V005602,COMPREHENSIVE,PV-COMP-V2,571000.0,6900.0,2025-08-18,2026-08-18,EXPIRED
P000218,C005196,V002418,COMPREHENSIVE,PV-COMP-V1,538000.0,11600.0,2025-06-29,2026-06-29,EXPIRED
P000219,C004409,V005359,COMPREHENSIVE,PV-COMP-V1,454000.0,8700.0,2025-07-04,2026-07-04,EXPIRED
P000220,C001616,V011010,THIRD_PARTY,PV-TP-V1,1770000.0,75900.0,2024-09-13,2025-09-13,EXPIRED
