vehicle_id,customer_id,make,model,manufacture_year,registration_number,vehicle_value
V000102,C003824,Volkswagen,Virtus,2014,REG-V-000102,720000.0
V000103,C006507,Mahindra,Bolero,2012,REG-V-000103,369000.0
V000104,C009222,Maruti Suzuki,Swift,2020,REG-V-000104,671000.0
V000105,C002413,Honda,Civic,2020,REG-V-000105,991000.0
V000106,C006042,Volkswagen,Taigun,2025,REG-V-000106,1020000.0
V000107,C001426,Toyota,Innova,2017,REG-V-000107,1622000.0
V000108,C007537,Maruti Suzuki,Swift,2024,REG-V-000108,893000.0
V000109,C001275,Honda,Civic,2025,REG-V-000109,1572000.0
V000110,C010000,Toyota,Innova,2016,REG-V-000110,1437000.0
V000111,C000925,Maruti Suzuki,Ertiga,2019,REG-V-000111,324000.0
V000112,C006890,Honda,Civic,2015,REG-V-000112,705000.0
V000113,C007842,Toyota,Fortuner,2024,REG-V-000113,3260000.0
V000114,C002589,Honda,Amaze,2017,REG-V-000114,620000.0
V000115,C002565,Hyundai,Verna,2019,REG-V-000115,677000.0
V000116,C005996,Tata,Harrier,2022,REG-V-000116,871000.0
V000117,C006343,Mahindra,Scorpio,2018,REG-V-000117,1420000.0
V000118,C007259,Maruti Suzuki,Ertiga,2019,REG-V-000118,622000.0
V000119,C005849,Honda,Amaze,2025,REG-V-000119,1194000.0
V000120,C001736,Hyundai,i20,2017,REG-V-000120,690000.0
V000121,C009274,Hyundai,Venue,2021,REG-V-000121,999000.0
V000122,C001665,Mahindra,Scorpio,2015,REG-V-000122,1017000.0
V000123,C005701,Hyundai,Venue,2022,REG-V-000123,699000.0
V000124,C009237,Mahindra,XUV300,2015,REG-V-000124,907000.0
V000125,C009169,Volkswagen,Virtus,2014,REG-V-000125,594000.0
V000126,C001678,Volkswagen,Polo,2021,REG-V-000126,983000.0
V000127,C002409,Honda,Civic,2021,REG-V-000127,840000.0
V000128,C006057,Volkswagen,Virtus,2019,REG-V-000128,1223000.0
V000129,C003361,Volkswagen,Polo,2023,REG-V-000129,1708000.0
V000130,C007366,Tata,Tiago,2018,REG-V-000130,975000.0
V000131,C005261,Volkswagen,Virtus,2013,REG-V-000131,506000.0
V000132,C002670,Toyota,Innova,2018,REG-V-000132,2008000.0
V000133,C004125,Kia,Carens,2017,REG-V-000133,671000.0
V000134,C006944,Volkswagen,Taigun,2025,REG-V-000134,1653000.0
V000135,C007928,Volkswagen,Polo,2021,REG-V-000135,869000.0
V000136,C003704,Honda,Amaze,2015,REG-V-000136,723000.0
V000137,C001056,Maruti Suzuki,Brezza,2021,REG-V-000137,423000.0
V000138,C003533,Maruti Suzuki,Brezza,2015,REG-V-000138,398000.0
V000139,C006343,Toyota,Fortuner,2023,REG-V-000139,2301000.0
V000140,C007665,Toyota,Innova,2025,REG-V-000140,1812000.0
V000141,C008851,Mahindra,XUV700,2015,REG-V-000141,1083000.0
V000142,C009622,Toyota,Innova,2021,REG-V-000142,2552000.0
V000143,C005341,Kia,Carens,2023,REG-V-000143,1496000.0
V000144,C008858,Hyundai,i10,2024,REG-V-000144,704000.0
V000145,C002634,Honda,Amaze,2022,REG-V-000145,1343000.0
V000146,C005633,Tata,Tiago,2015,REG-V-000146,414000.0
V000147,C005430,Mahindra,Bolero,2022,REG-V-000147,880000.0
V000148,C007755,Toyota,Fortuner,2015,REG-V-000148,1384000.0
V000149,C007801,Volkswagen,Taigun,2018,REG-V-000149,511000.0
V000150,C002843,Mahindra,Scorpio,2022,REG-V-000150,1655000.0
V000151,C008916,Honda,Amaze,2022,REG-V-000151,831000.0
V000152,C008971,Hyundai,i20,2013,REG-V-000152,446000.0
V000153,C009495,Tata,Punch,2022,REG-V-000153,960000.0
V000154,C004601,Toyota,Fortuner,2020,REG-V-000154,1840000.0
V000155,C009878,Kia,Sonet,2020,REG-V-000155,627000.0
V000156,C007927,Hyundai,i10,2020,REG-V-000156,724000.0
V000157,C006566,Maruti Suzuki,Dzire,2012,REG-V-000157,199000.0
V000158,C004351,Honda,Civic,2014,REG-V-000158,547000.0
V000159,C008462,Toyota,Fortuner,2018,REG-V-000159,860000.0
V000160,C007707,Toyota,Glanza,2023,REG-V-000160,1811000.0
V000161,C005900,Mahindra,Bolero,2023,REG-V-000161,1494000.0
V000162,C009974,Honda,City,2022,REG-V-000162,788000.0
V000163,C002515,Maruti Suzuki,Swift,2016,REG-V-000163,494000.0
V000164,C006465,Maruti Suzuki,Ertiga,2024,REG-V-000164,819000.0
V000165,C003194,Mahindra,Scorpio,2022,REG-V-000165,1919000.0
V000166,C004604,Maruti Suzuki,Baleno,2014,REG-V-000166,232000.0
V000167,C003384,Kia,Carens,2020,REG-V-000167,1339000.0
V000168,C003333,Tata,Harrier,2023,REG-V-000168,1340000.0
V000169,C003778,Honda,Civic,2023,REG-V-000169,1297000.0
V000170,C000589,Tata,Harrier,2023,REG-V-000170,1252000.0
V000171,C000411,Maruti Suzuki,Brezza,2025,REG-V-000171,864000.0
V000172,C007305,Volkswagen,Taigun,2024,REG-V-000172,1091000.0
V000173,C003097,Hyundai,i10,2013,REG-V-000173,258000.0
V000174,C000226,Volkswagen,Taigun,2020,REG-V-000174,1007000.0
V000175,C000826,Honda,Civic,2017,REG-V-000175,721000.0
V000176,C001969,Hyundai,Venue,2019,REG-V-000176,649000.0
V000177,C000501,Kia,Carens,2023,REG-V-000177,1200000.0
V000178,C009476,Toyota,Innova,2023,REG-V-000178,1304000.0
V000179,C005737,Tata,Punch,2023,REG-V-000179,1437000.0
V000180,C003955,Tata,Tiago,2024,REG-V-000180,1182000.0
V000181,C005369,Mahindra,Scorpio,2019,REG-V-000181,1221000.0
V000182,C001121,Honda,Amaze,2019,REG-V-000182,711000.0
V000183,C007058,Kia,Seltos,2021,REG-V-000183,1256000.0
V000184,C009694,Volkswagen,Taigun,2014,REG-V-000184,731000.0
V000185,C001309,Honda,Amaze,2014,REG-V-000185,377000.0
V000186,C001516,Mahindra,XUV700,2025,REG-V-000186,993000.0
V000187,C006324,Hyundai,i10,2020,REG-V-000187,606000.0
V000188,C001509,Mahindra,Bolero,2014,REG-V-000188,872000.0
V000189,C001261,Honda,City,2018,REG-V-000189,881000.0
V000190,C006750,Maruti Suzuki,Baleno,2013,REG-V-000190,289000.0
V000191,C006236,Maruti Suzuki,Dzire,2024,REG-V-000191,646000.0
V000192,C002199,Maruti Suzuki,Ertiga,2012,REG-V-000192,378000.0
V000193,C008282,Toyota,Innova,2014,REG-V-000193,1033000.0
V000194,C001057,Mahindra,Scorpio,2022,REG-V-000194,1199000.0
V000195,C003305,Kia,Seltos,2023,REG-V-000195,1505000.0
V000196,C007450,Toyota,Innova,2022,REG-V-000196,1035000.0
V000197,C006186,Hyundai,Verna,2017,REG-V-000197,592000.0
V000198,C006039,Maruti Suzuki,Baleno,2019,REG-V-000198,354000.0
V000199,C006901,Toyota,Glanza,2025,REG-V-000199,1684000.0
V000200,C006507,Mahindra,Scorpio,2012,REG-V-000200,830000.0
V000201,C008792,Honda,Civic,2012,REG-V-000201,405000.0
V000202,C005740,Maruti Suzuki,Baleno,2020,REG-V-000202,503000.0
V000203,C004030,Kia,Sonet,2023,REG-V-000203,1300000.0
V000204,C007725,Honda,City,2014,REG-V-000204,451000.0
V000205,C002602,Maruti Suzuki,Swift,2020,REG-V-000205,727000.0
V000206,C007662,Maruti Suzuki,Swift,2012,REG-V-000206,184000.0
V000207,C002796,Tata,Tiago,2023,REG-V-000207,1347000.0
V000208,C004840,Volkswagen,Virtus,2013,REG-V-000208,584000.0
V000209,C007455,Volkswagen,Taigun,2019,REG-V-000209,637000.0
V000210,C006318,Kia,Sonet,2017,REG-V-000210,636000.0
V000211,C000873,Kia,Sonet,2012,REG-V-000211,547000.0
V000212,C004479,Tata,Altroz,2020,REG-V-000212,1098000.0
V000213,C008163,Toyota,Glanza,2015,REG-V-000213,635000.0
V000214,C009972,Mahindra,XUV300,2024,REG-V-000214,1147000.0
V000215,C004705,Volkswagen,Polo,2017,REG-V-000215,869000.0
V000216,C000875,Honda,Amaze,2014,REG-V-000216,420000.0
V000217,C003671,Mahindra,XUV700,2017,REG-V-000217,1134000.0
V000218,C004937,Toyota,Innova,2019,REG-V-000218,1449000.0
V000219,C000759,Volkswagen,Taigun,2020,REG-V-000219,958000.0
V000220,C008679,Honda,Civic,2020,REG-V-000220,1075000.0
V000221,C005425,Volkswagen,Taigun,2020,REG-V-000221,1287000.0
V000222,C004182,Maruti Suzuki,Dzire,2018,REG-V-000222,584000.0
V000223,C003989,Honda,Amaze,2019,REG-V-000223,674000.0
V000224,C000300,Honda,Amaze,2018,REG-V-000224,780000.0
V000225,C005227,Honda,Civic,2023,REG-V-000225,1158000.0
V000226,C004791,Volkswagen,Virtus,2024,REG-V-000226,1713000.0
V000227,C003453,Kia,Carens,2019,REG-V-000227,723000.0
V000228,C006628,Tata,Punch,2025,REG-V-000228,1230000.0
V000229,C004125,Toyota,Fortuner,2024,REG-V-000229,1264000.0
V000230,C005761,Honda,City,2014,REG-V-000230,417000.0
V000231,C008908,Mahindra,Bolero,2012,REG-V-000231,676000.0
V000232,C003647,Toyota,Innova,2013,REG-V-000232,429000.0
V000233,C003997,Volkswagen,Virtus,2023,REG-V-000233,1645000.0
V000234,C008696,Hyundai,i20,2018,REG-V-000234,569000.0
V000235,C003586,Volkswagen,Virtus,2016,REG-V-000235,449000.0
V000236,C004422,Mahindra,Bolero,2022,REG-V-000236,906000.0
V000237,C008069,Toyota,Fortuner,2025,REG-V-000237,2532000.0
V000238,C005961,Tata,Tiago,2021,REG-V-000238,1132000.0
V000239,C009373,Kia,Sonet,2016,REG-V-000239,812000.0
V000240,C004745,Hyundai,Creta,2018,REG-V-000240,689000.0
V000241,C004829,Kia,Sonet,2019,REG-V-000241,1114000.0
V000242,C000446,Honda,Amaze,2019,REG-V-000242,1087000.0
V000243,C001983,Kia,Carens,2023,REG-V-000243,984000.0
V000244,C005436,Honda,Civic,2012,REG-V-000244,387000.0
V000245,C001878,Toyota,Innova,2025,REG-V-000245,2778000.0
V000246,C004557,Maruti Suzuki,Brezza,2016,REG-V-000246,233000.0
V000247,C002824,Mahindra,Scorpio,2022,REG-V-000247,1206000.0
V000248,C000221,Kia,Carens,2024,REG-V-000248,1788000.0
V000249,C004788,Honda,Civic,2021,REG-V-000249,1237000.0
V000250,C006506,Mahindra,XUV300,2017,REG-V-000250,1120000.0
V000251,C003379,Toyota,Innova,2018,REG-V-000251,2046000.0
V000252,C007837,Hyundai,Verna,2019,REG-V-000252,470000.0
V000253,C001451,Tata,Nexon,2019,REG-V-000253,993000.0
V000254,C000919,Honda,Amaze,2024,REG-V-000254,902000.0
V000255,C009380,Toyota,Innova,2025,REG-V-000255,2784000.0
V000256,C009250,Maruti Suzuki,Baleno,2019,REG-V-000256,580000.0
V000257,C004082,Honda,Amaze,2017,REG-V-000257,585000.0
V000258,C004216,Maruti Suzuki,Baleno,2016,REG-V-000258,416000.0
V000259,C008559,Kia,Sonet,2017,REG-V-000259,550000.0
V000260,C005351,Volkswagen,Taigun,2025,REG-V-000260,1100000.0
V000261,C001167,Tata,Punch,2014,REG-V-000261,335000.0
V000262,C001140,Maruti Suzuki,Swift,2014,REG-V-000262,221000.0
V000263,C001315,Kia,Sonet,2018,REG-V-000263,1046000.0
V000264,C007881,Kia,Sonet,2023,REG-V-000264,1545000.0
V000265,C006057,Maruti Suzuki,Brezza,2022,REG-V-000265,852000.0
V000266,C002986,Maruti Suzuki,Brezza,2017,REG-V-000266,397000.0
V000267,C001617,Kia,Sonet,2021,REG-V-000267,824000.0
V000268,C001233,Maruti Suzuki,Baleno,2018,REG-V-000268,539000.0
V000269,C007475,Mahindra,XUV300,2021,REG-V-000269,1015000.0
V000270,C008916,Hyundai,Venue,2020,REG-V-000270,687000.0
V000271,C005355,Tata,Punch,2025,REG-V-000271,1363000.0
V000272,C007798,Honda,City,2014,REG-V-000272,337000.0
V000273,C002821,Honda,City,2017,REG-V-000273,581000.0
V000274,C005900,Toyota,Fortuner,2019,REG-V-000274,2147000.0
V000275,C004412,Hyundai,Creta,2019,REG-V-000275,431000.0
V000276,C000889,Hyundai,Creta,2025,REG-V-000276,1101000.0
V000277,C004909,Maruti Suzuki,Brezza,2018,REG-V-000277,614000.0
V000278,C008511,Kia,Seltos,2024,REG-V-000278,1141000.0
V000279,C000532,Kia,Sonet,2021,REG-V-000279,1249000.0
V000280,C004807,Volkswagen,Taigun,2022,REG-V-000280,1551000.0
V000281,C008783,Volkswagen,Virtus,2013,REG-V-000281,562000.0
V000282,C007964,Mahindra,Scorpio,2016,REG-V-000282,618000.0
V000283,C004975,Hyundai,Verna,2021,REG-V-000283,1105000.0
V000284,C001713,Volkswagen,Taigun,2014,REG-V-000284,669000.0
V000285,C008532,Maruti Suzuki,Swift,2021,REG-V-000285,767000.0
V000286,C001522,Toyota,Innova,2025,REG-V-000286,2616000.0
V000287,C002766,Tata,Altroz,2019,REG-V-000287,903000.0
V000288,C001243,Honda,City,2015,REG-V-000288,369000.0
V000289,C004617,Honda,Civic,2022,REG-V-000289,1220000.0
V000290,C006329,Maruti Suzuki,Brezza,2018,REG-V-000290,295000.0
V000291,C008321,Volkswagen,Polo,2022,REG-V-000291,903000.0
V000292,C004642,Maruti Suzuki,Baleno,2020,REG-V-000292,564000.0
V000293,C009704,Tata,Harrier,2016,REG-V-000293,677000.0
V000294,C005993,Kia,Seltos,2021,REG-V-000294,1217000.0
V000295,C006088,Kia,Carens,2016,REG-V-000295,557000.0
V000296,C001745,Hyundai,i20,2016,REG-V-000296,615000.0
V000297,C001908,Volkswagen,Virtus,2020,REG-V-000297,635000.0
V000298,C005812,Volkswagen,Polo,2017,REG-V-000298,548000.0
V000299,C007263,Hyundai,i10,2014,REG-V-000299,440000.0
V000300,C002054,Honda,Civic,2020,REG-V-000300,656000.0
V000301,C004876,Honda,Civic,2013,REG-V-000301,528000.0
V000302,C003565,Kia,Carens,2015,REG-V-000302,727000.0
V000303,C004418,Mahindra,Bolero,2014,REG-V-000303,393000.0
V000304,C002243,Volkswagen,Virtus,2024,REG-V-000304,1748000.0
V000305,C001408,Tata,Punch,2018,REG-V-000305,513000.0
V000306,C003188,Mahindra,XUV300,2015,REG-V-000306,837000.0
V000307,C008735,Tata,Nexon,2019,REG-V-000307,856000.0
V000308,C008110,Maruti Suzuki,Ertiga,2025,REG-V-000308,492000.0
V000309,C001030,Honda,City,2023,REG-V-000309,753000.0
V000310,C000889,Maruti Suzuki,Swift,2024,REG-V-000310,698000.0
V000311,C004967,Toyota,Glanza,2025,REG-V-000311,3584000.0
V000312,C002770,Honda,City,2018,REG-V-000312,1030000.0
V000313,C008283,Toyota,Fortuner,2014,REG-V-000313,871000.0
V000314,C004899,Volkswagen,Taigun,2024,REG-V-000314,1158000.0
V000315,C008567,Maruti Suzuki,Ertiga,2014,REG-V-000315,277000.0
V000316,C001084,Toyota,Fortuner,2019,REG-V-000316,1010000.0
V000317,C009697,Kia,Carens,2015,REG-V-000317,433000.0
V000318,C007741,Honda,Amaze,2021,REG-V-000318,1180000.0
V000319,C007377,Maruti Suzuki,Swift,2015,REG-V-000319,336000.0
V000320,C009422,Tata,Nexon,2023,REG-V-000320,812000.0
V000321,C004742,Mahindra,Scorpio,2012,REG-V-000321,461000.0
V000322,C001482,Mahindra,Scorpio,2024,REG-V-000322,2138000.0
V000323,C005016,Volkswagen,Taigun,2020,REG-V-000323,736000.0
V000324,C008198,Tata,Harrier,2020,REG-V-000324,555000.0
V000325,C008633,Kia,Seltos,2013,REG-V-000325,526000.0
V000326,C004922,Honda,City,2016,REG-V-000326,533000.0
V000327,C007380,Hyundai,Creta,2013,REG-V-000327,341000.0
V000328,C002490,Mahindra,Scorpio,2021,REG-V-000328,1676000.0
V000329,C002325,Toyota,Glanza,2015,REG-V-000329,1454000.0
V000330,C005905,Volkswagen,Polo,2014,REG-V-000330,450000.0
V000331,C004232,Hyundai,Verna,2019,REG-V-000331,470000.0
V000332,C001606,Kia,Sonet,2025,REG-V-000332,1902000.0
V000333,C007685,Kia,Carens,2018,REG-V-000333,869000.0
V000334,C005365,Hyundai,Creta,2018,REG-V-000334,574000.0
V000335,C005240,Kia,Seltos,2016,REG-V-000335,914000.0
V000336,C001901,Hyundai,Creta,2019,REG-V-000336,763000.0
V000337,C002432,Mahindra,Scorpio,2012,REG-V-000337,938000.0
V000338,C006958,Volkswagen,Polo,2021,REG-V-000338,931000.0
V000339,C008563,Honda,City,2020,REG-V-000339,1161000.0
V000340,C001766,Toyota,Glanza,2025,REG-V-000340,1302000.0
V000341,C008169,Volkswagen,Virtus,2018,REG-V-000341,752000.0
V000342,C007951,Honda,Civic,2021,REG-V-000342,1049000.0
V000343,C008196,Maruti Suzuki,Brezza,2016,REG-V-000343,333000.0
V000344,C005866,Hyundai,Verna,2019,REG-V-000344,883000.0
V000345,C003523,Tata,Tiago,2021,REG-V-000345,887000.0
V000346,C007778,Kia,Sonet,2015,REG-V-000346,728000.0
V000347,C004835,Hyundai,i10,2025,REG-V-000347,830000.0
V000348,C002242,Tata,Nexon,2012,REG-V-000348,490000.0
V000349,C004041,Mahindra,Bolero,2021,REG-V-000349,927000.0
V000350,C004603,Hyundai,Creta,2021,REG-V-000350,792000.0
V000351,C005093,Volkswagen,Polo,2020,REG-V-000351,645000.0
V000352,C009026,Toyota,Innova,2012,REG-V-000352,657000.0
V000353,C004126,Toyota,Innova,2016,REG-V-000353,674000.0
V000354,C002838,Maruti Suzuki,Brezza,2014,REG-V-000354,327000.0
V000355,C009625,Kia,Carens,2018,REG-V-000355,982000.0
V000356,C002438,Hyundai,i10,2015,REG-V-000356,589000.0
V000357,C000112,Mahindra,Scorpio,2015,REG-V-000357,685000.0
V000358,C008546,Hyundai,Creta,2014,REG-V-000358,307000.0
V000359,C009550,Kia,Sonet,2018,REG-V-000359,589000.0
V000360,C006861,Mahindra,XUV700,2015,REG-V-000360,1000000.0
V000361,C004092,Volkswagen,Polo,2022,REG-V-000361,1201000.0
V000362,C005473,Hyundai,i20,2012,REG-V-000362,498000.0
V000363,C008361,Mahindra,XUV700,2013,REG-V-000363,852000.0
V000364,C008910,Hyundai,Venue,2023,REG-V-000364,1137000.0
V000365,C001038,Maruti Suzuki,Baleno,2016,REG-V-000365,487000.0
V000366,C008725,Toyota,Glanza,2018,REG-V-000366,2055000.0
V000367,C006220,Hyundai,Verna,2018,REG-V-000367,489000.0
V000368,C000334,Kia,Sonet,2024,REG-V-000368,1788000.0
V000369,C001087,Mahindra,XUV300,2023,REG-V-000369,2003000.0
V000370,C000470,Volkswagen,Virtus,2020,REG-V-000370,1125000.0
V000371,C009496,Hyundai,i10,2022,REG-V-000371,961000.0
V000372,C004292,Mahindra,Scorpio,2020,REG-V-000372,1724000.0
V000373,C007208,Maruti Suzuki,Swift,2022,REG-V-000373,655000.0
V000374,C000018,Mahindra,XUV700,2023,REG-V-000374,1077000.0
V000375,C007994,Maruti Suzuki,Dzire,2015,REG-V-000375,354000.0
V000376,C004854,Hyundai,Creta,2022,REG-V-000376,984000.0
V000377,C009269,Tata,Harrier,2021,REG-V-000377,992000.0
V000378,C005248,Tata,Punch,2024,REG-V-000378,1304000.0
V000379,C007955,Tata,Nexon,2019,REG-V-000379,912000.0
V000380,C006332,Toyota,Glanza,2019,REG-V-000380,1684000.0
V000381,C005241,Volkswagen,Taigun,2013,REG-V-000381,349000.0
V000382,C009495,Kia,Seltos,2019,REG-V-000382,1051000.0
V000383,C005001,Honda,Civic,2014,REG-V-000383,364000.0
V000384,C008979,Tata,Harrier,2020,REG-V-000384,778000.0
V000385,C000367,Maruti Suzuki,Baleno,2012,REG-V-000385,242000.0
V000386,C006612,Volkswagen,Polo,2012,REG-V-000386,340000.0
V000387,C009160,Mahindra,XUV700,2013,REG-V-000387,577000.0
V000388,C009044,Maruti Suzuki,Swift,2013,REG-V-000388,293000.0
V000389,C004888,Hyundai,Venue,2018,REG-V-000389,891000.0
V000390,C004761,Toyota,Innova,2025,REG-V-000390,2159000.0
V000391,C008155,Maruti Suzuki,Baleno,2024,REG-V-000391,641000.0
V000392,C003337,Mahindra,XUV300,2022,REG-V-000392,1594000.0
V000393,C009401,Honda,City,2021,REG-V-000393,1279000.0
V000394,C002526,Honda,Amaze,2019,REG-V-000394,990000.0
V000395,C000768,Volkswagen,Taigun,2014,REG-V-000395,439000.0
V000396,C007788,Honda,City,2020,REG-V-000396,679000.0
V000397,C004063,Toyota,Fortuner,2023,REG-V-000397,2960000.0
V000398,C003562,Maruti Suzuki,Baleno,2022,REG-V-000398,475000.0
V000399,C003192,Mahindra,XUV300,2024,REG-V-000399,2033000.0
V000400,C009803,Mahindra,XUV700,2016,REG-V-000400,852000.0
