claim_id,policy_id,customer_id,vehicle_id,repair_shop_id,incident_date,claim_date,claim_type,claim_amount,description,previous_claim_count,days_since_previous_claim,customer_claim_frequency,customer_avg_claim_amount_prior,repair_shop_claim_count_prior,policy_age_days,claim_amount_vs_vehicle_value,claim_amount_vs_customer_average,investigation_probability_synthetic,investigation_label,repair_shop_investigation_rate_prior,investigation_status,status
CL003349,P004234,C008872,V010225,RS00171,2023-10-11,2023-10-11,NATURAL_DISASTER,102800.0,Natural_Disaster claim reported for V010225.,0,-1.0,0.0,102800.0,0,15,0.29970845481049563,1.0,0.04550255189806474,0,0.0,NOT_FLAGGED,CLOSED
CL004371,P000271,C000824,V013010,RS00342,2023-10-12,2023-10-12,NATURAL_DISASTER,173400.0,Natural_Disaster claim reported for V013010.,0,-1.0,0.0,173400.0,0,11,0.25387994143484627,1.0,0.06381004035308349,0,0.0,NOT_FLAGGED,CLOSED
CL000728,P009756,C004441,V013832,RS00129,2023-10-07,2023-10-12,ACCIDENT,521100.0,Accident claim reported for V013832.,0,-1.0,0.0,521100.0,0,10,0.29760137064534553,1.0,0.04274128764103758,0,0.0,NOT_FLAGGED,CLOSED
CL007174,P002005,C007037,V012547,RS00413,2023-10-10,2023-10-15,VANDALISM,118600.0,Vandalism claim reported for V012547.,0,-1.0,0.0,118600.0,0,12,0.2259047619047619,1.0,0.017992723918305416,0,0.0,NOT_FLAGGED,CLOSED
CL007862,P000861,C009957,V013621,RS00054,2023-10-17,2023-10-17,FIRE,123000.0,Fire claim reported for V013621.,0,-1.0,0.0,123000.0,0,13,0.25894736842105265,1.0,0.0168556885001396,0,0.0,NOT_FLAGGED,CLOSED
CL001729,P006093,C007951,V004511,RS00485,2023-10-16,2023-10-17,ACCIDENT,356100.0,Accident claim reported for V004511.,0,-1.0,0.0,356100.0,0,5,0.21272401433691757,1.0,0.17207720192318304,1,0.0,FLAGGED,UNDER_REVIEW
CL019210,P000433,C006727,V008599,RS00371,2023-10-11,2023-10-17,ACCIDENT,60200.0,Accident claim reported for V008599.,0,-1.0,0.0,60200.0,0,6,0.2606060606060606,1.0,0.048953960502971725,0,0.0,NOT_FLAGGED,CLOSED
CL007154,P000100,C001159,V003709,RS00449,2023-10-13,2023-10-18,ACCIDENT,174300.0,Accident claim reported for V003709.,0,-1.0,0.0,174300.0,0,16,0.2497134670487106,1.0,0.22684578162871305,1,0.0,INVESTIGATED,UNDER_REVIEW
CL026406,P002017,C004006,V009786,RS00186,2023-10-13,2023-10-19,ACCIDENT,158100.0,Accident claim reported for V009786.,1,22.0,1.0,455400.0,0,29,0.2735294117647059,0.347167325428195,0.08919984000606651,0,0.0,NOT_FLAGGED,CLOSED
CL008403,P004902,C004866,V002710,RS00375,2023-10-15,2023-10-21,ACCIDENT,315700.0,Accident claim reported for V002710.,0,-1.0,0.0,315700.0,0,22,0.44464788732394367,1.0,0.033532048737612556,0,0.0,NOT_FLAGGED,CLOSED
CL025733,P008522,C009603,V004328,RS00360,2023-10-17,2023-10-21,FIRE,810600.0,Fire claim reported for V004328.,0,-1.0,0.0,810600.0,0,22,0.2424768172300329,1.0,0.06002703280842084,0,0.0,NOT_FLAGGED,CLOSED
CL000686,P000002,C003874,V006476,RS00435,2023-10-19,2023-10-22,ACCIDENT,124000.0,Accident claim reported for V006476.,0,-1.0,0.0,124000.0,0,13,0.13671444321940462,1.0,0.19228854841437765,1,0.0,INVESTIGATED,UNDER_REVIEW
CL016666,P001202,C009415,V014855,RS00464,2023-10-19,2023-10-23,ACCIDENT,265600.0,Accident claim reported for V014855.,0,-1.0,0.0,265600.0,0,12,0.1713548387096774,1.0,0.020440153301377263,0,0.0,NOT_FLAGGED,CLOSED
CL015446,P008522,C009603,V004328,RS00391,2023-10-21,2023-10-23,NATURAL_DISASTER,862500.0,Natural_Disaster claim reported for V004328.,1,2.0,1.0,810600.0,0,24,0.2580017947950942,1.0640266469282014,0.029354781230159676,0,0.0,NOT_FLAGGED,CLOSED
CL018722,P005269,C000710,V014069,RS00025,2023-10-21,2023-10-24,ACCIDENT,181800.0,Accident claim reported for V014069.,0,-1.0,0.0,181800.0,0,26,0.20565610859728506,1.0,0.018153765698170437,0,0.0,NOT_FLAGGED,CLOSED
CL002284,P000972,C005025,V011777,RS00215,2023-10-24,2023-10-24,THEFT,192700.0,Theft claim reported for V011777.,0,-1.0,0.0,192700.0,0,14,0.10807627593942792,1.0,0.032495060127826034,0,0.0,NOT_FLAGGED,CLOSED
CL022777,P009962,C002311,V001813,RS00290,2023-10-20,2023-10-24,VANDALISM,47400.0,Vandalism claim reported for V001813.,0,-1.0,0.0,47400.0,0,16,0.09634146341463415,1.0,0.029928309442910615,0,0.0,NOT_FLAGGED,CLOSED
CL027858,P003365,C003496,V007402,RS00394,2023-10-20,2023-10-25,ACCIDENT,452500.0,Accident claim reported for V007402.,0,-1.0,0.0,452500.0,0,10,0.22795969773299748,1.0,0.07951816178080015,0,0.0,NOT_FLAGGED,CLOSED
CL017343,P008987,C004067,V007494,RS00052,2023-10-22,2023-10-26,THEFT,69600.0,Theft claim reported for V007494.,0,-1.0,0.0,69600.0,0,35,0.06803519061583578,1.0,0.08347259857910018,0,0.0,NOT_FLAGGED,CLOSED
CL002013,P002856,C003908,V006335,RS00493,2023-10-19,2023-10-26,ACCIDENT,189000.0,Accident claim reported for V006335.,0,-1.0,0.0,189000.0,0,32,0.39375,1.0,0.01017001813218439,0,0.0,NOT_FLAGGED,CLOSED
CL002741,P007102,C000487,V008146,RS00291,2023-10-21,2023-10-26,ACCIDENT,591200.0,Accident claim reported for V008146.,0,-1.0,0.0,591200.0,0,35,0.6511013215859031,1.0,0.04230530811447847,0,0.0,NOT_FLAGGED,CLOSED
CL005678,P006690,C001166,V014155,RS00363,2023-10-25,2023-10-27,ACCIDENT,233200.0,Accident claim reported for V014155.,0,-1.0,0.0,233200.0,0,8,0.2033129904097646,1.0,0.024781887138066807,0,0.0,NOT_FLAGGED,CLOSED
CL021664,P007863,C002619,V010888,RS00085,2023-10-24,2023-10-27,ACCIDENT,417700.0,Accident claim reported for V010888.,0,-1.0,0.0,417700.0,0,4,0.2737221494102228,1.0,0.11238001822484295,0,0.0,NOT_FLAGGED,CLOSED
CL018608,P007234,C001466,V002375,RS00292,2023-10-25,2023-10-27,ACCIDENT,176700.0,Accident claim reported for V002375.,0,-1.0,0.0,176700.0,0,36,0.4484771573604061,1.0,0.07711162125569106,0,0.0,NOT_FLAGGED,CLOSED
CL028448,P003016,C009315,V000730,RS00211,2023-10-22,2023-10-27,VANDALISM,92700.0,Vandalism claim reported for V000730.,0,-1.0,0.0,92700.0,0,6,0.1576530612244898,1.0,0.019013538726448315,0,0.0,NOT_FLAGGED,CLOSED
CL017985,P005613,C001540,V006102,RS00344,2023-10-28,2023-10-28,ACCIDENT,600900.0,Accident claim reported for V006102.,0,-1.0,0.0,600900.0,0,38,0.48072,1.0,0.012672705278755648,0,0.0,NOT_FLAGGED,CLOSED
CL010455,P000861,C009957,V013621,RS00317,2023-10-26,2023-10-28,NATURAL_DISASTER,355000.0,Natural_Disaster claim reported for V013621.,1,11.0,1.0,123000.0,1,24,0.7473684210526316,2.886178861788618,0.5930319899190856,1,1.0,FLAGGED,UNDER_REVIEW
CL028480,P004964,C000310,V005869,RS00033,2023-10-27,2023-10-28,ACCIDENT,71900.0,Accident claim reported for V005869.,0,-1.0,0.0,71900.0,0,18,0.11044546850998464,1.0,0.01909819275441698,0,0.0,NOT_FLAGGED,CLOSED
CL024409,P011639,C009074,V002091,RS00129,2023-10-29,2023-10-29,ACCIDENT,74500.0,Accident claim reported for V002091.,1,22.0,1.0,476900.0,1,29,0.06754306436990028,0.15621723631788634,0.12882334272912244,0,0.0,NOT_FLAGGED,CLOSED
CL003655,P004297,C002612,V008687,RS00368,2023-10-28,2023-10-30,FIRE,376900.0,Fire claim reported for V008687.,0,-1.0,0.0,376900.0,0,38,0.37133004926108376,1.0,0.00932522740790357,0,0.0,NOT_FLAGGED,CLOSED
CL014665,P009888,C004784,V009868,RS00227,2023-10-27,2023-10-31,ACCIDENT,1528500.0,Accident claim reported for V009868.,0,-1.0,0.0,1528500.0,0,39,0.7944386694386695,1.0,0.16882970261822103,0,0.0,NOT_FLAGGED,CLOSED
CL010513,P000998,C009514,V013863,RS00048,2023-10-29,2023-10-31,ACCIDENT,94200.0,Accident claim reported for V013863.,0,-1.0,0.0,94200.0,0,15,0.1469578783151326,1.0,0.07532053097453333,0,0.0,NOT_FLAGGED,CLOSED
CL028356,P002050,C002054,V000300,RS00039,2023-10-31,2023-10-31,ACCIDENT,69100.0,Accident claim reported for V000300.,0,-1.0,0.0,69100.0,0,40,0.10533536585365853,1.0,0.005672578870558958,0,0.0,NOT_FLAGGED,CLOSED
CL014116,P011465,C007927,V000156,RS00273,2023-10-30,2023-11-01,ACCIDENT,294300.0,Accident claim reported for V000156.,0,-1.0,0.0,294300.0,0,38,0.4064917127071823,1.0,0.043195425220114735,0,0.0,NOT_FLAGGED,CLOSED
CL026609,P000248,C009992,V003616,RS00241,2023-10-31,2023-11-01,ACCIDENT,259900.0,Accident claim reported for V003616.,0,-1.0,0.0,259900.0,1,2,0.27300420168067224,1.0,0.02067297835403081,0,1.0,NOT_FLAGGED,CLOSED
CL019689,P006085,C009832,V009471,RS00164,2023-10-30,2023-11-01,NATURAL_DISASTER,413200.0,Natural_Disaster claim reported for V009471.,0,-1.0,0.0,413200.0,0,20,0.6773770491803278,1.0,0.5526040945457126,0,0.0,NOT_FLAGGED,CLOSED
CL009267,P007752,C001411,V011163,RS00136,2023-10-31,2023-11-01,ACCIDENT,316600.0,Accident claim reported for V011163.,0,-1.0,0.0,316600.0,0,33,0.31039215686274507,1.0,0.05337580087172766,0,0.0,NOT_FLAGGED,CLOSED
CL006878,P007744,C009815,V005289,RS00363,2023-11-01,2023-11-01,ACCIDENT,122800.0,Accident claim reported for V005289.,0,-1.0,0.0,122800.0,1,17,0.23082706766917294,1.0,0.04021002771404077,0,0.0,NOT_FLAGGED,CLOSED
CL021227,P001579,C000004,V001800,RS00179,2023-10-28,2023-11-02,ACCIDENT,163600.0,Accident claim reported for V001800.,0,-1.0,0.0,163600.0,1,8,0.23883211678832117,1.0,0.011676341423914084,0,0.0,NOT_FLAGGED,CLOSED
CL001040,P000887,C002640,V014811,RS00360,2023-11-02,2023-11-02,ACCIDENT,106900.0,Accident claim reported for V014811.,0,-1.0,0.0,106900.0,1,4,0.1120545073375262,1.0,0.03677759785552987,0,0.0,NOT_FLAGGED,CLOSED
CL024552,P010461,C002985,V001992,RS00194,2023-10-28,2023-11-02,ACCIDENT,73800.0,Accident claim reported for V001992.,0,-1.0,0.0,73800.0,0,5,0.2021917808219178,1.0,0.035934490316786645,0,0.0,NOT_FLAGGED,CLOSED
CL008908,P005842,C009945,V014882,RS00111,2023-10-31,2023-11-02,ACCIDENT,174300.0,Accident claim reported for V014882.,0,-1.0,0.0,174300.0,0,25,0.3856194690265487,1.0,0.05233527678895198,0,0.0,NOT_FLAGGED,CLOSED
CL025042,P009176,C004460,V014177,RS00114,2023-10-27,2023-11-03,ACCIDENT,50700.0,Accident claim reported for V014177.,0,-1.0,0.0,50700.0,0,18,0.20526315789473684,1.0,0.04402881326373916,0,0.0,NOT_FLAGGED,CLOSED
CL021091,P001992,C003309,V010219,RS00027,2023-10-28,2023-11-03,FIRE,325600.0,Fire claim reported for V010219.,0,-1.0,0.0,325600.0,0,15,0.22705718270571826,1.0,0.0578738885292843,0,0.0,NOT_FLAGGED,CLOSED
CL003029,P002914,C008390,V008727,RS00065,2023-11-02,2023-11-03,THEFT,63500.0,Theft claim reported for V008727.,0,-1.0,0.0,63500.0,0,27,0.12164750957854406,1.0,0.030276364452798184,0,0.0,NOT_FLAGGED,CLOSED
CL026247,P002589,C007348,V005153,RS00031,2023-10-31,2023-11-04,NATURAL_DISASTER,10300.0,Natural_Disaster claim reported for V005153.,0,-1.0,0.0,10300.0,0,39,0.019922630560928432,1.0,0.0183056473933456,0,0.0,NOT_FLAGGED,CLOSED
CL009268,P005567,C004489,V002229,RS00438,2023-11-03,2023-11-04,ACCIDENT,167200.0,Accident claim reported for V002229.,0,-1.0,0.0,167200.0,0,18,0.10615873015873016,1.0,0.03536194606679547,0,0.0,NOT_FLAGGED,CLOSED
CL015199,P007489,C003768,V014334,RS00371,2023-11-04,2023-11-04,ACCIDENT,377300.0,Accident claim reported for V014334.,0,-1.0,0.0,377300.0,1,18,0.29615384615384616,1.0,0.02235939270299977,0,0.0,NOT_FLAGGED,CLOSED
CL016137,P011669,C004699,V014212,RS00016,2023-10-30,2023-11-04,THEFT,116200.0,Theft claim reported for V014212.,0,-1.0,0.0,116200.0,0,18,0.33877551020408164,1.0,0.10305863500110844,0,0.0,NOT_FLAGGED,CLOSED
CL012141,P009962,C002311,V001813,RS00074,2023-11-04,2023-11-04,NATURAL_DISASTER,26000.0,Natural_Disaster claim reported for V001813.,1,11.0,1.0,47400.0,0,27,0.052845528455284556,0.5485232067510548,0.047637091675986946,0,0.0,NOT_FLAGGED,CLOSED
CL021532,P001296,C008499,V013827,RS00257,2023-11-04,2023-11-05,THEFT,60300.0,Theft claim reported for V013827.,0,-1.0,0.0,60300.0,0,44,0.1088447653429603,1.0,0.002738310196775226,0,0.0,NOT_FLAGGED,CLOSED
CL027722,P003263,C006784,V006486,RS00487,2023-11-05,2023-11-05,THEFT,235800.0,Theft claim reported for V006486.,0,-1.0,0.0,235800.0,0,24,0.38529411764705884,1.0,0.037055158640024954,0,0.0,NOT_FLAGGED,CLOSED
CL017455,P007677,C003396,V007839,RS00048,2023-11-01,2023-11-05,ACCIDENT,679600.0,Accident claim reported for V007839.,0,-1.0,0.0,679600.0,1,4,0.5883982683982684,1.0,0.23596794712821778,0,0.0,NOT_FLAGGED,CLOSED
CL014627,P009495,C007991,V001097,RS00079,2023-10-30,2023-11-05,NATURAL_DISASTER,257300.0,Natural_Disaster claim reported for V001097.,0,-1.0,0.0,257300.0,0,20,0.15029205607476637,1.0,0.06956890657645735,0,0.0,NOT_FLAGGED,CLOSED
CL005093,P011287,C007640,V004988,RS00487,2023-11-03,2023-11-06,ACCIDENT,144600.0,Accident claim reported for V004988.,0,-1.0,0.0,144600.0,1,29,0.1469512195121951,1.0,0.023159888266993372,1,0.0,INVESTIGATED,UNDER_REVIEW
CL002969,P007668,C003648,V013668,RS00424,2023-11-05,2023-11-07,NATURAL_DISASTER,276400.0,Natural_Disaster claim reported for V013668.,0,-1.0,0.0,276400.0,0,33,0.46926994906621394,1.0,0.04921980350213115,0,0.0,NOT_FLAGGED,CLOSED
CL010465,P004025,C006281,V002222,RS00494,2023-11-07,2023-11-07,ACCIDENT,103400.0,Accident claim reported for V002222.,0,-1.0,0.0,103400.0,0,37,0.1550224887556222,1.0,0.013505101061487784,0,0.0,NOT_FLAGGED,CLOSED
CL019938,P004902,C004866,V002710,RS00304,2023-11-06,2023-11-07,VANDALISM,426000.0,Vandalism claim reported for V002710.,1,17.0,1.0,315700.0,0,39,0.6,1.349382324992081,0.08483442072368223,0,0.0,NOT_FLAGGED,CLOSED
CL011347,P001988,C009495,V008381,RS00039,2023-11-02,2023-11-08,ACCIDENT,221400.0,Accident claim reported for V008381.,0,-1.0,0.0,221400.0,1,12,0.6,1.0,0.21498106768784517,0,0.0,NOT_FLAGGED,CLOSED
CL005118,P003263,C006784,V006486,RS00098,2023-11-06,2023-11-08,ACCIDENT,52000.0,Accident claim reported for V006486.,1,3.0,1.0,235800.0,0,27,0.08496732026143791,0.2205258693808312,0.23503859658933346,0,0.0,NOT_FLAGGED,CLOSED
CL028152,P001592,C008884,V009862,RS00273,2023-11-06,2023-11-08,ACCIDENT,274400.0,Accident claim reported for V009862.,0,-1.0,0.0,274400.0,1,36,0.24543828264758497,1.0,0.05074223484314316,0,0.0,NOT_FLAGGED,CLOSED
CL024840,P001803,C001133,V012684,RS00186,2023-11-04,2023-11-08,ACCIDENT,636500.0,Accident claim reported for V012684.,0,-1.0,0.0,636500.0,1,18,0.36728216964800925,1.0,0.09450090793674774,0,0.0,NOT_FLAGGED,CLOSED
CL024944,P006093,C007951,V004511,RS00019,2023-11-08,2023-11-08,ACCIDENT,439100.0,Accident claim reported for V004511.,1,22.0,1.0,356100.0,0,27,0.2623058542413381,1.233080595338388,0.055084424965241637,0,0.0,NOT_FLAGGED,CLOSED
CL004838,P006824,C001622,V008075,RS00247,2023-11-09,2023-11-09,FIRE,344600.0,Fire claim reported for V008075.,2,30.0,2.0,64550.0,0,50,0.9213903743315508,5.338497288923315,0.028649193033296824,1,0.0,INVESTIGATED,UNDER_REVIEW
CL024159,P007932,C001274,V009811,RS00200,2023-11-06,2023-11-09,NATURAL_DISASTER,159800.0,Natural_Disaster claim reported for V009811.,0,-1.0,0.0,159800.0,0,6,0.5025157232704403,1.0,0.03636581134107107,0,0.0,NOT_FLAGGED,CLOSED
CL008485,P009758,C000382,V003806,RS00428,2023-11-07,2023-11-09,NATURAL_DISASTER,161300.0,Natural_Disaster claim reported for V003806.,0,-1.0,0.0,161300.0,0,7,0.2639934533551555,1.0,0.023923980113340723,0,0.0,NOT_FLAGGED,CLOSED
CL029366,P002208,C006265,V014537,RS00475,2023-11-05,2023-11-09,ACCIDENT,363100.0,Accident claim reported for V014537.,0,-1.0,0.0,363100.0,0,8,0.7758547008547009,1.0,0.10194469818439435,0,0.0,NOT_FLAGGED,CLOSED
CL000642,P008648,C004675,V008489,RS00011,2023-11-03,2023-11-09,ACCIDENT,311900.0,Accident claim reported for V008489.,0,-1.0,0.0,311900.0,1,36,0.4142098273572377,1.0,0.014349065374185056,0,0.0,NOT_FLAGGED,CLOSED
CL013218,P004069,C003088,V009007,RS00296,2023-11-10,2023-11-10,FIRE,878300.0,Fire claim reported for V009007.,0,-1.0,0.0,878300.0,0,28,0.389490022172949,1.0,0.02943979581916027,0,0.0,NOT_FLAGGED,CLOSED
CL009970,P000201,C002279,V001386,RS00090,2023-11-04,2023-11-10,ACCIDENT,173100.0,Accident claim reported for V001386.,1,35.0,1.0,240900.0,0,44,0.1936241610738255,0.7185554171855542,0.015839410044338066,0,0.0,NOT_FLAGGED,CLOSED
CL025570,P004376,C004776,V002838,RS00432,2023-11-08,2023-11-10,THEFT,384700.0,Theft claim reported for V002838.,0,-1.0,0.0,384700.0,0,35,0.4579761904761905,1.0,0.013287309128903323,0,0.0,NOT_FLAGGED,CLOSED
CL023991,P004736,C008804,V000030,RS00248,2023-11-10,2023-11-11,NATURAL_DISASTER,258300.0,Natural_Disaster claim reported for V000030.,0,-1.0,0.0,258300.0,0,22,0.1547633313361294,1.0,0.05021917666109454,0,0.0,NOT_FLAGGED,CLOSED
CL023081,P003364,C004216,V008769,RS00125,2023-11-11,2023-11-11,ACCIDENT,97700.0,Accident claim reported for V008769.,0,-1.0,0.0,97700.0,0,45,0.16643952299829642,1.0,0.07952509267812845,0,0.0,NOT_FLAGGED,CLOSED
CL028642,P010258,C000750,V001921,RS00125,2023-11-10,2023-11-11,ACCIDENT,190500.0,Accident claim reported for V001921.,0,-1.0,0.0,190500.0,1,15,0.31435643564356436,1.0,0.2363167321763655,0,0.0,NOT_FLAGGED,CLOSED
CL003625,P001693,C006565,V006614,RS00223,2023-11-10,2023-11-11,ACCIDENT,17900.0,Accident claim reported for V006614.,0,-1.0,0.0,17900.0,0,52,0.06462093862815885,1.0,0.005206794237567316,0,0.0,NOT_FLAGGED,CLOSED
CL015365,P009756,C004441,V013832,RS00170,2023-11-11,2023-11-12,NATURAL_DISASTER,147100.0,Natural_Disaster claim reported for V013832.,1,31.0,1.0,521100.0,0,41,0.08400913763563678,0.2822874688159662,0.00493646857676226,0,0.0,NOT_FLAGGED,CLOSED
CL026120,P007283,C007777,V005299,RS00175,2023-11-10,2023-11-12,ACCIDENT,141700.0,Accident claim reported for V005299.,0,-1.0,0.0,141700.0,0,4,0.2673584905660377,1.0,0.025393881113472676,0,0.0,NOT_FLAGGED,CLOSED
CL017817,P000959,C004953,V008359,RS00082,2023-11-11,2023-11-12,ACCIDENT,248100.0,Accident claim reported for V008359.,0,-1.0,0.0,248100.0,0,33,0.13527808069792802,1.0,0.009967481575848121,0,0.0,NOT_FLAGGED,CLOSED
CL005328,P007489,C003768,V014334,RS00031,2023-11-09,2023-11-12,NATURAL_DISASTER,163100.0,Natural_Disaster claim reported for V014334.,1,8.0,1.0,377300.0,1,26,0.128021978021978,0.4322820037105751,0.11243818434657969,0,0.0,NOT_FLAGGED,CLOSED
CL003722,P006205,C008266,V004701,RS00431,2023-11-09,2023-11-13,ACCIDENT,174600.0,Accident claim reported for V004701.,0,-1.0,0.0,174600.0,0,22,0.24385474860335196,1.0,0.03043393834580737,0,0.0,NOT_FLAGGED,CLOSED
CL011775,P010252,C008342,V005286,RS00463,2023-11-13,2023-11-13,ACCIDENT,813400.0,Accident claim reported for V005286.,0,-1.0,0.0,813400.0,0,11,0.7489871086556169,1.0,0.3073514013195432,0,0.0,NOT_FLAGGED,CLOSED
CL021672,P007757,C008765,V007319,RS00309,2023-11-09,2023-11-14,VANDALISM,59900.0,Vandalism claim reported for V007319.,0,-1.0,0.0,59900.0,0,20,0.09661290322580646,1.0,0.04022886937052178,0,0.0,NOT_FLAGGED,CLOSED
CL022833,P006769,C005135,V012887,RS00244,2023-11-08,2023-11-14,ACCIDENT,163700.0,Accident claim reported for V012887.,0,-1.0,0.0,163700.0,0,37,0.1424717145343777,1.0,0.006976335897638796,0,0.0,NOT_FLAGGED,CLOSED
CL022059,P004522,C001342,V013134,RS00345,2023-11-12,2023-11-14,ACCIDENT,139000.0,Accident claim reported for V013134.,0,-1.0,0.0,139000.0,0,51,0.12990654205607477,1.0,0.017826947418477176,0,0.0,NOT_FLAGGED,CLOSED
CL000142,P007323,C001336,V001100,RS00138,2023-11-10,2023-11-14,ACCIDENT,338100.0,Accident claim reported for V001100.,0,-1.0,0.0,338100.0,0,51,0.37194719471947196,1.0,0.02059854526523868,0,0.0,NOT_FLAGGED,CLOSED
CL008384,P007323,C001336,V001100,RS00493,2023-11-10,2023-11-15,ACCIDENT,346300.0,Accident claim reported for V001100.,1,1.0,1.0,338100.0,1,52,0.38096809680968097,1.0242531795326826,0.02995203530338736,0,0.0,NOT_FLAGGED,CLOSED
CL020148,P009286,C007935,V000726,RS00164,2023-11-12,2023-11-15,ACCIDENT,76600.0,Accident claim reported for V000726.,0,-1.0,0.0,76600.0,1,16,0.23212121212121212,1.0,0.08961780773511427,0,0.0,NOT_FLAGGED,CLOSED
CL003548,P007801,C008049,V005840,RS00375,2023-11-12,2023-11-15,ACCIDENT,28500.0,Accident claim reported for V005840.,0,-1.0,0.0,28500.0,1,15,0.08507462686567165,1.0,0.03140342005659186,0,0.0,NOT_FLAGGED,CLOSED
CL013044,P006634,C001226,V008744,RS00024,2023-11-13,2023-11-15,ACCIDENT,265300.0,Accident claim reported for V008744.,0,-1.0,0.0,265300.0,0,19,0.30599769319492504,1.0,0.0635900692514659,0,0.0,NOT_FLAGGED,CLOSED
CL003301,P011087,C002302,V000947,RS00441,2023-11-11,2023-11-15,FIRE,171200.0,Fire claim reported for V000947.,0,-1.0,0.0,171200.0,0,36,0.17292929292929293,1.0,0.011478304320595567,0,0.0,NOT_FLAGGED,CLOSED
CL014309,P001841,C007867,V005774,RS00288,2023-11-08,2023-11-15,ACCIDENT,671000.0,Accident claim reported for V005774.,0,-1.0,0.0,671000.0,0,22,0.7651083238312428,1.0,0.08374708750704597,0,0.0,NOT_FLAGGED,CLOSED
CL017350,P009357,C002264,V011165,RS00363,2023-11-14,2023-11-16,THEFT,42700.0,Theft claim reported for V011165.,0,-1.0,0.0,42700.0,2,52,0.11296296296296296,1.0,0.010601553488749626,0,0.0,NOT_FLAGGED,CLOSED
CL004175,P003549,C000891,V007500,RS00166,2023-11-10,2023-11-16,ACCIDENT,133700.0,Accident claim reported for V007500.,0,-1.0,0.0,133700.0,0,41,0.2309153713298791,1.0,0.003739141314735171,0,0.0,NOT_FLAGGED,CLOSED
